scope,critic,condition,n,validity_rate,mean_validity_score
overall,ALL,self,727,0.7414030261348006,4.931224209078405
overall,ALL,cross,2907,0.7815617475060199,5.112487100103199
within_critic,deepseekr1,self,150,0.8133333333333334,5.133333333333334
within_critic,deepseekr1,cross,576,0.875,5.555555555555555
within_critic,deepseekv3,self,127,0.5905511811023622,4.362204724409449
within_critic,deepseekv3,cross,600,0.5983333333333334,4.35
within_critic,gemma27b,self,150,0.7933333333333333,5.1866666666666665
within_critic,gemma27b,cross,577,0.8440207972270364,5.374350086655113
within_critic,gpt41nano,self,150,0.66,4.593333333333334
within_critic,gpt41nano,cross,577,0.7972270363951474,5.12998266897747
within_critic,llama70b,self,150,0.8266666666666667,5.293333333333333
within_critic,llama70b,cross,577,0.8006932409012132,5.183708838821491
