scope,critic,condition,n,validity_rate,mean_validity_score
overall,ALL,self,1350,0.8362962962962963,5.094814814814815
overall,ALL,cross,5400,0.8694444444444445,5.24037037037037
within_critic,deepseekr1,self,270,0.8851851851851852,5.355555555555555
within_critic,deepseekr1,cross,1080,0.8805555555555555,5.4527777777777775
within_critic,deepseekv3,self,270,0.9074074074074074,5.285185185185185
within_critic,deepseekv3,cross,1080,0.9388888888888889,5.519444444444445
within_critic,gemma27b,self,270,0.9444444444444444,5.511111111111111
within_critic,gemma27b,cross,1080,0.9203703703703704,5.337962962962963
within_critic,gpt41nano,self,270,0.6259259259259259,4.318518518518519
within_critic,gpt41nano,cross,1080,0.7777777777777778,4.916666666666667
within_critic,llama70b,self,270,0.8185185185185185,5.003703703703704
within_critic,llama70b,cross,1080,0.8296296296296296,4.975
